​:START_ID;:END_ID
6971255;8
7625113;8
6783668;8
6821065;65
6759625;65
6982923;65
7493476;75
7288880;75
6800393;75
6778569;126
7204644;126
6858598;126
6911130;144
6775986;144
6784027;144
7080570;151
8116730;151
6759713;151
6803685;154
6766559;154
7856542;154
6944085;176
7600765;176
6764984;176
7730094;200
6845953;200
7351547;200
6775535;251
7416863;251
7616188;251
6828625;252
6884982;252
6779541;252
8129830;276
7178511;276
7203145;276
7593357;295
6916103;295
7090540;295
6774532;307
6926727;307
7090449;307
7644033;321
7441242;321
7265116;321
6996159;329
6967872;329
7130063;329
6791094;355
6780408;355
7268539;355
6878548;358
8076855;358
7791323;358
7064284;365
7005574;365
7877199;365
7007681;403
6901747;403
8047345;403
6843429;424
7183599;424
6821139;424
6908090;432
6787796;432
7895738;432
7240466;448
6783223;448
6818056;448
6754592;512
6922907;512
7709322;512
7303296;518
6928655;518
7182536;518
6788141;560
6829461;560
6926357;560
6938095;563
6850507;563
6949974;563
7717178;584
7102944;584
7062397;584
6922839;616
7291565;616
6833609;616
6860337;634
7513965;634
6978889;634
7529401;684
8123468;684
6785151;684
7045357;693
6813126;693
7109547;693
6793694;718
7069091;718
6788578;718
6780745;745
6941249;745
7754960;745
6911780;758
6800400;758
7779883;758
6780627;762
6787277;762
6806320;762
7046319;834
6816315;834
7147603;834
6919626;841
6756558;841
6762336;841
6798591;849
7181681;849
6865840;849
6834248;906
7032453;906
7484172;906
7010532;918
7065231;918
6829325;918
8103423;989
7416731;989
7526514;989
7811429;992
6909805;992
6780665;992
6873291;1014
7411364;1014
6826482;1014
6936570;1083
7775801;1083
7574816;1083
6774849;1096
6925841;1096
6819746;1096
7742784;1100
7500662;1100
7207068;1100
6781236;1141
7316026;1141
8004958;1141
7147976;1183
6782370;1183
7264207;1183
7452653;1256
6999319;1256
7881728;1256
7070729;1266
6839223;1266
7277836;1266
6935551;1284
8064606;1284
7253102;1284
7133790;1297
7163153;1297
6808182;1297
7621540;1359
6822389;1359
7241364;1359
6819046;1365
7437841;1365
7056794;1365
7543618;1400
6779375;1400
7297729;1400
6840167;1409
7712601;1409
7572782;1409
6754183;1472
7917789;1472
7689332;1472
6793671;1488
8088798;1488
7053851;1488
7190220;10884
7005688;10884
7392389;10884
7367602;10891
6855996;10891
6994936;10891
6806240;10893
6978922;10893
7029420;10893
7157925;10901
7196407;10901
7915493;10901
7785982;10909
7821273;10909
6768186;10909
6883903;10913
7913389;10913
7070725;10913
7209597;10914
7887356;10914
6778136;10914
7172494;10917
7065249;10917
7723035;10917
7959214;10919
7674053;10919
7875274;10919
6977953;10925
6873622;10925
7699719;10925
7147818;10926
7177467;10926
7052356;10926
7959128;10932
6985763;10932
7580965;10932
7609674;10935
7563603;10935
7911370;10935
7383309;10943
7903754;10943
6957023;10943
8035049;10946
6784329;10946
6930310;10946
6781051;10948
7564195;10948
7466948;10948
7290108;10953
6754703;10953
7210940;10953
7301738;10957
7026005;10957
7009111;10957
6967719;10960
6983020;10960
7474020;10960
6781039;10963
7989431;10963
7042905;10963
6811762;10979
6766701;10979
7523332;10979
7970592;10982
7108328;10982
6833846;10982
7596308;10989
7488935;10989
7437841;10989
6877527;10998
7416855;10998
6970495;10998
6932081;10999
7153270;10999
6832354;10999
7414494;11001
7192558;11001
7303537;11001
