:START_ID;:END_ID
10100078;8
10100081;8
10100057;8
10100097;8
10100015;8
10100033;65
10100037;65
10100022;65
10100033;65
10100061;65
10100037;75
10100088;75
10100024;75
10100044;75
10100087;75
10100055;95
10100085;95
10100052;95
10100075;95
10100019;95
10100000;126
10100026;126
10100076;126
10100002;126
10100048;126
10100083;144
10100014;144
10100095;144
10100051;144
10100091;144
10100068;151
10100049;151
10100003;151
10100072;151
10100090;151
10100019;154
10100007;154
10100086;154
10100087;154
10100002;154
10100000;176
10100060;176
10100039;176
10100068;176
10100008;176
10100095;200
10100071;200
10100048;200
10100012;200
10100025;200
10100085;251
10100086;251
10100031;251
10100004;251
10100008;251
10100065;252
10100073;252
10100053;252
10100086;252
10100059;252
10100065;276
10100087;276
10100096;276
10100080;276
10100019;276
10100044;295
10100085;295
10100034;295
10100084;295
10100075;295
10100042;307
10100095;307
10100042;307
10100050;307
10100043;307
10100043;313
10100018;313
10100067;313
10100038;313
10100018;313
10100051;321
10100073;321
10100061;321
10100012;321
10100094;321
10100089;329
10100037;329
10100048;329
10100071;329
10100061;329
10100023;332
10100073;332
10100009;332
10100062;332
10100018;332
10100034;355
10100014;355
10100074;355
10100092;355
10100096;355
10100055;358
10100087;358
10100012;358
10100043;358
10100081;358
10100060;365
10100036;365
10100003;365
10100051;365
10100023;365
10100070;403
10100025;403
10100004;403
10100065;403
10100025;403
10100057;424
10100072;424
10100087;424
10100037;424
10100081;424
10100007;432
10100020;432
10100037;432
10100091;432
10100054;432
10100002;448
10100072;448
10100056;448
10100004;448
10100085;448
10100063;458
10100080;458
10100075;458
10100032;458
10100098;458
10100031;512
10100084;512
10100014;512
10100051;512
10100032;512
10100095;518
10100073;518
10100067;518
10100030;518
10100008;518
10100089;560
10100062;560
10100038;560
10100062;560
10100053;560
10100001;563
10100044;563
10100085;563
10100056;563
10100039;563
10100020;566
10100038;566
10100056;566
10100064;566
10100027;566
10100031;584
10100028;584
10100014;584
10100047;584
10100056;584
10100066;616
10100027;616
10100009;616
10100090;616
10100019;616
10100027;634
10100056;634
10100009;634
10100069;634
10100049;634
10100015;684
10100072;684
10100034;684
10100045;684
10100093;684
10100013;693
10100084;693
10100089;693
10100020;693
10100030;693
10100010;718
10100020;718
10100033;718
10100018;718
10100010;718
10100054;745
10100043;745
10100045;745
10100080;745
10100068;745
10100045;758
10100083;758
10100007;758
10100069;758
10100016;758
10100043;762
10100018;762
10100064;762
10100018;762
10100028;762
10100011;787
10100034;787
10100080;787
10100033;787
10100055;787
10100083;805
10100028;805
10100074;805
10100012;805
10100027;805
10100029;814
10100093;814
10100036;814
10100074;814
10100031;814
10100010;834
10100026;834
10100038;834
10100083;834
10100054;834
10100011;841
10100070;841
10100000;841
10100037;841
10100030;841
10100087;844
10100064;844
10100042;844
10100057;844
10100041;844
10100043;849
10100034;849
10100073;849
10100041;849
10100006;849
10100022;906
10100013;906
10100089;906
10100090;906
10100054;906
10100062;918
10100035;918
10100003;918
10100057;918
10100030;918
10100046;989
10100077;989
10100038;989
10100061;989
10100000;989
10100023;992
10100087;992
10100046;992
10100012;992
10100030;992
10100043;1014
10100014;1014
10100070;1014
10100008;1014
10100065;1014
10100003;1050
10100043;1050
10100061;1050
10100007;1050
10100000;1050
10100051;1053
10100064;1053
10100050;1053
10100074;1053
10100023;1053
10100069;1083
10100084;1083
10100080;1083
10100017;1083
10100027;1083
10100047;1089
10100028;1089
10100007;1089
10100044;1089
10100090;1089
10100088;1096
10100072;1096
10100012;1096
10100020;1096
10100048;1096
10100065;1097
10100094;1097
10100050;1097
10100011;1097
10100047;1097
10100047;1100
10100090;1100
10100015;1100
10100016;1100
10100071;1100
10100036;1141
10100089;1141
10100000;1141
10100045;1141
10100025;1141
